Time ,Station,Reading1,Reading2,Reading3,MAG_MEAN,STDEV,,,,,Line Azimuth,343
16:51,0,53027,53382,53497,53302,400.0833247,,,,,Rebar Az,163
16:52,1,53475,53471,53464,53470,9.092121131,,,,,,
16:52,2,53463,53463,53460,53462,2.828427125,,,,,,
16:53,3,53265,53455,53457,53392.33333,180.083931,,,,,,
16:53,4,53454,53449,53453,53452,4.320493799,,,,,,
16:53,5,53644,53453,53455,53517.33333,179.141161,,,,,,
16:54,6,53398,53460,53467,53441.66667,62.01791856,,,,,,
16:54,7,53667,53656,53471,53598,179.8295489,,,,,,
16:54,8,54109,53625,53629,53787.66667,454.4456941,,,,,,
16:55,9,54430,54293,54292,54338.33333,129.6388145,,,,,,
16:56,10,53869,53727,53754,53783.33333,123.1403896,,,,,,
16:56,11,53572,53590,53584,53582,14.96662955,,,,,,
16:57,12,53519,53527,53514,53520,10.70825227,,,,,,
16:57,13,53488,53490,53486,53488,3.265986324,,,,,,
16:57,14,53482,53486,53486,53484.66667,3.771236166,,,,,,
16:58,15,53481,53484,53481,53482,2.828427125,,,,,,
16:58,16,53485,53481,53481,53482.33333,3.771236166,,,,,,
16:58,17,53484,53485,53486,53485,1.632993162,,,,,,
16:59,18,53487,53489,53497,53491,8.640987598,,,,,,
,,,,,,,,,,,,
16:50,Base Station,53444,53474,53461,,,,,,,,
17:00,Base Station,53466,53480,53449,,,,,,,,